cris_id,title,publication_type,doi,doi_link,resolved_doi_link
4523668,Reuse Mechanisms in Situational Method Engineering,Forschungsartikel in Sammelband (Konferenz),10.1007/978-0-387-73947-2_8,https://doi.org/10.1007/978-0-387-73947-2_8,https://link.springer.com/chapter/10.1007/978-0-387-73947-2_8
4494942,Referenzmodelle für Workflow-Applikationen in technischen Dienstleistungen,Forschungsartikel (Buchbeitrag),10.1007/3-540-29473-2_26,https://doi.org/10.1007/3-540-29473-2_26,https://link.springer.com/chapter/10.1007/3-540-29473-2_26
4512470,A Framework for Situational and Evolutionary Language Adaptation in Information Systems Development,Forschungsartikel in Sammelband (Konferenz),10.1007/978-0-387-70802-7_9,https://doi.org/10.1007/978-0-387-70802-7_9,https://link.springer.com/chapter/10.1007/978-0-387-70802-7_9
4512881,Beziehungen zwischen behavioristischer und konstruktionsorientierter Forschung in der Wirtschaftsinformatik,Forschungsartikel (Buchbeitrag),10.1007/978-3-8350-9199-3_1,https://doi.org/10.1007/978-3-8350-9199-3_1,https://link.springer.com/chapter/10.1007/978-3-8350-9199-3_1
4513019,Multidimensional Knowledge Spaces for Strategic Management - Experiences at a Leading Manufacturer of Construction and Mining Equipment,Forschungsartikel in Sammelband (Konferenz),10.1109/DEXA.2004.1333521,https://doi.org/10.1109/DEXA.2004.1333521,https://ieeexplore.ieee.org/document/1333521/
24373408,Manifest: The role of law in an electronic world dominated by Web 2.0,Forschungsartikel (Zeitschrift),10.1007/s00450-009-0054-z,https://doi.org/10.1007/s00450-009-0054-z,https://link.springer.com/article/10.1007/s00450-009-0054-z
24372786,Single Source Information Systems to Connect Patient Care and Clinical Research,Forschungsartikel in Sammelband (Konferenz),10.3233/978-1-60750-044-5-61,https://doi.org/10.3233/978-1-60750-044-5-61,https://www.medra.org/servlet/aliasResolver?alias=iospressISSNISBN&issn=0926-9630&volume=150&spage=61
24372707,Single Source Informationssysteme - Nutzung von Routinedaten für die klinische Forschung,Forschungsartikel in Sammelband (Konferenz),10.3205/09gmds287,https://doi.org/10.3205/09gmds287,https://www.egms.de/static/en/meetings/gmds2009/09gmds287.shtml
4507393,Wertschöpfungsnetzwerke von Produzenten und Dienstleistern als Option zur Organisation der Erstellung hybrider Leistungsbündel,Forschungsartikel (Buchbeitrag),10.1007/978-3-7908-2056-0_1,https://doi.org/10.1007/978-3-7908-2056-0_1,https://link.springer.com/chapter/10.1007/978-3-7908-2056-0_1
4525757,Wertschöpfungsnetzwerke: Konzepte für das Netzwerkmanagement und Potenziale aktueller Informationstechnologien,Fachbuch (Herausgegebenes Buch),10.1007/978-3-7908-2056-0,https://doi.org/10.1007/978-3-7908-2056-0,https://link.springer.com/book/10.1007/978-3-7908-2056-0
